Nº Localidade;Nome Localidade;Nome Município
132; AFLITOS;RECIFE
779; AFOGADOS;RECIFE
337; AGUA FRIA;RECIFE
493; ALTO DO MANDU;RECIFE
540; ALTO JOSE BONIFACIO;RECIFE
523; ALTO JOSE DO PINHO;RECIFE
949; ALTO SANTA TEREZINHA;RECIFE
507; APIPUCOS;RECIFE
850; AREIAS;RECIFE
329; ARRUDA;RECIFE
999; BAIRRO IGNORADO;RECIFE
876; BARRO;RECIFE
370; BEBERIBE;RECIFE
205; BOA VIAGEM;RECIFE
086; BOA VISTA;RECIFE
426; BOMBA DO HEMETERIO;RECIFE
809; BONGI;RECIFE
256; BRASILIA TEIMOSA;RECIFE
612; BREJO DA GUABIRABA;RECIFE
574; BREJO DE BEBERIBE;RECIFE
051; CABANGA;RECIFE
841; CACOTE;RECIFE
353; CAJUEIRO;RECIFE
310; CAMPINA DO BARRETO;RECIFE
280; CAMPO GRANDE;RECIFE
434; CASA AMARELA;RECIFE
442; CASA FORTE;RECIFE
744; CAXANGA;RECIFE
728; CIDADE UNIVERSITARIA;RECIFE
060; COELHOS;RECIFE
884; COHAB;RECIFE
922; COQUEIRAL;RECIFE
680; CORDEIRO;RECIFE
620; CORREGO DO JENIPAPO;RECIFE
752; CURADO;RECIFE
140; DERBY;RECIFE
590; DOIS IRMAOS;RECIFE
396; DOIS UNIDOS;RECIFE
175; ENCRUZILHADA;RECIFE
710; ENGENHO DO MEIO;RECIFE
124; ESPINHEIRO;RECIFE
833; ESTANCIA;RECIFE
345; FUNDAO;RECIFE
167; GRACAS;RECIFE
418; GUABIRABA;RECIFE
302; HIPODROMO;RECIFE
230; IBURA;RECIFE
078; ILHA DO LEITE;RECIFE
760; ILHA DO RETIRO;RECIFE
043; ILHA JOANA BEZERRA;RECIFE
264; IMBIRIBEIRA;RECIFE
213; IPSEP;RECIFE
698; IPUTINGA;RECIFE
159; JAQUEIRA;RECIFE
868; JARDIM SAO PAULO;RECIFE
825; JIQUIA;RECIFE
221; JORDAO;RECIFE
388; LINHA DO TIRO;RECIFE
582; MACAXEIRA;RECIFE
647; MADALENA;RECIFE
515; MANGABEIRA;RECIFE
795; MANGUEIRA;RECIFE
485; MONTEIRO;RECIFE
531; MORRO DA CONCEICAO;RECIFE
787; MUSTARDINHA;RECIFE
566; NOVA DESCOBERTA;RECIFE
094; PAISSANDU;RECIFE
469; PARNAMIRIM;RECIFE
400; PASSARINHO;RECIFE
639; PAU FERRO;RECIFE
299; PEIXINHOS;RECIFE
248; PINA;RECIFE
477; POCO;RECIFE
930; PONTO DE PARADA;RECIFE
361; PORTO DA MADEIRA;RECIFE
663; PRADO;RECIFE
019;RECIFE;RECIFE
183; ROSARINHO;RECIFE
817; SAN MARTIN;RECIFE
902; SANCHO;RECIFE
450; SANTANA;RECIFE
108; SANTO AMARO;RECIFE
027; SANTO ANTONIO;RECIFE
035; SAO JOSE;RECIFE
604; SITIO DOS PINTOS;RECIFE
116; SOLEDADE;RECIFE
191; TAMARINEIRA;RECIFE
892; TEJIPIO;RECIFE
655; TORRE;RECIFE
272; TORREAO;RECIFE
701; TORROES;RECIFE
914; TOTO;RECIFE
736; VARZEA;RECIFE
558; VASCO DA GAMA;RECIFE
671; ZUMBI;RECIFE
